title,pr_number,user_facing_impact,category,decision,reason
[Fix] Sorts aclgraph batch sizes in ascending order (#4230),4230,[Fix] Sorts aclgraph batch sizes in ascending order,Highlights,Include,Major feature
[refactor]support gatingtopk operator generalization (#2958),2958,[refactor]support gatingtopk operator generalization,Ignore,Ignore,Internal/CI/test change
[bugfix] pcp + mtp acl graph bugfix (#4221),4221,[bugfix] pcp + mtp acl graph bugfix,Highlights,Include,Major feature
[CI] Fix kubernetes failed to resolve ip by dns name (#4240),4240,[CI] Fix kubernetes failed to resolve ip by dns name,Ignore,Ignore,Internal/CI/test change
[Bugfix] fix hang in async scheduling (#4233),4233,[Bugfix] fix hang in async scheduling,Performance,Include,Performance optimization
remove get_metadata_cls (#4087),4087,remove get_metadata_cls,Others,Include,Miscellaneous
[doc]fix readme for kv pool user guide (#4271),4271,[doc]fix readme for kv pool user guide,Highlights,Include,Major feature
[Docs] Improve the AISBench multi-modal testing docs (#4255),4255,[Docs] Improve the AISBench multi-modal testing docs,Others,Include,Miscellaneous
[misc] clean up get_metadata_cls (#4276),4276,[misc] clean up get_metadata_cls,Ignore,Ignore,Internal/CI/test change
[long seq feat]GQA support long-prefill-token-threshold and fixbug (#4209),4209,[long seq feat]GQA support long-prefill-token-threshold and fixbug,Features,Include,New feature
"[Bugfix] fix nightly multi-node EPLB tests' ""DYNAMIC_EPLB=true"" environment not working (#4223)",4223,"[Bugfix] fix nightly multi-node EPLB tests' ""DYNAMIC_EPLB=true"" environment not working",Ignore,Ignore,Internal/CI/test change
avoid mrope fusion op when running qwen2.5-vl on a+x machine (#4270),4270,avoid mrope fusion op when running qwen2.5-vl on a+x machine,Performance,Include,Operator fusion
[Test] Add tests for the multi-node DeepSeek-V2-Lite network in GE Graph (#4039),4039,[Test] Add tests for the multi-node DeepSeek-V2-Lite network in GE Graph,Others,Include,Miscellaneous
[CI] Add mla ut (#4280),4280,[CI] Add mla ut,Ignore,Ignore,Internal/CI/test change
[Feat] Support MTP to running in full graph mode (#3892),3892,[Feat] Support MTP to running in full graph mode,Highlights,Include,Major feature
[Test] quick fix mla ut (#4318),4318,[Test] quick fix mla ut,Ignore,Ignore,Internal/CI/test change
[Test] Add ACL graph capture/replay DP test (#4259),4259,[Test] Add ACL graph capture/replay DP test,Others,Include,Miscellaneous
[Feat][BugFix]Support the Qwen3-Next-80B-A3B-Instruct quantization model&Fix the NZ issue (#4245),4245,[Feat][BugFix]Support the Qwen3-Next-80B-A3B-Instruct quantization model&Fix the NZ issue,Highlights,Include,Model support
eplb redundant expert bugfix (#4291),4291,eplb redundant expert bugfix,Highlights,Include,Major feature
[Readme] EPLB Support Scenarios (#4314),4314,[Readme] EPLB Support Scenarios,Highlights,Include,Major feature
[MM][Bugfix] Add error log for VL models when enabling FLASHCOMM (#4272),4272,[MM][Bugfix] Add error log for VL models when enabling FLASHCOMM,Performance,Include,Performance optimization
[Feat][Doc] Add a load_balance_dp_proxy in examples and external dp doc. (#4265),4265,[Feat][Doc] Add a load_balance_dp_proxy in examples and external dp doc.,Documentation,Include,Documentation update
[Test] Add ut test for torchair (#4287),4287,[Test] Add ut test for torchair,Ignore,Ignore,Internal/CI/test change
[bugfix] bugfix for PD disaggregate (#4319),4319,[bugfix] bugfix for PD disaggregate,Others,Include,Bug fix
[EPLB] Eplb Verify Fix (#4333),4333,[EPLB] Eplb Verify Fix,Highlights,Include,Major feature
[Doc] add release note for v0.11.0rc2 (#4348),4348,[Doc] add release note for v0.11.0rc2,Documentation,Include,Documentation update
[BugFix] Fix some issues caused by the ascending order of cudagraph_capture_sizes (#4338),4338,[BugFix] Fix some issues caused by the ascending order of cudagraph_capture_sizes,Others,Include,Bug fix
[Bugfix][KV Pool]fix get_ip import in mooncake_store (#4355),4355,[Bugfix][KV Pool]fix get_ip import in mooncake_store,Highlights,Include,Major feature
[Doc]Add single node PD disaggregation instructions (#4337),4337,[Doc]Add single node PD disaggregation instructions,Highlights,Include,Major feature
[CI] Fix nightly CI for A2 series (#3825),3825,[CI] Fix nightly CI for A2 series,Hardware and Operator Support,Include,Operator/hardware support
[Doc] Upgrade multi-node doc (#4365),4365,[Doc] Upgrade multi-node doc,Documentation,Include,Documentation update
Change the first letter to uppercase (#4375),4375,Change the first letter to uppercase,Others,Include,Miscellaneous
[Fix] Remove unnecessary NPU synchronization in MTP proposer (#4325),4325,[Fix] Remove unnecessary NPU synchronization in MTP proposer,Highlights,Include,Major feature
[TEST]Update deepseek mtpx acc cases standard (#4321),4321,[TEST]Update deepseek mtpx acc cases standard,Highlights,Include,Major feature
Drop 0.11.0 support (#4377),4377,Drop 0.11.0 support,Features,Include,New feature
[Fix] fix aclgraph e2e test. (#4131),4131,[Fix] fix aclgraph e2e test.,Ignore,Ignore,Internal/CI/test change
[Refactor] remove moe type of multicast. (#4224),4224,[Refactor] remove moe type of multicast.,Ignore,Ignore,Internal/CI/test change
[Bugfix][MoE] enable force_load_balance in aclgraph (#4366),4366,[Bugfix][MoE] enable force_load_balance in aclgraph,Highlights,Include,Major feature
[feature] vllm-ascend support msprobe (eager mode dump) (#4241),4241,[feature] vllm-ascend support msprobe (eager mode dump),Features,Include,New feature
Bump actions/checkout from 4 to 6 (#4380),4380,Bump actions/checkout from 4 to 6,Ignore,Ignore,Internal/CI/test change
[Bugfix]Fix the hang issue of multimodal model when running with DP>1 (#4392),4392,[Bugfix]Fix the hang issue of multimodal model when running with DP>1,Others,Include,Bug fix
Document error correction (#4422),4422,Document error correction,Others,Include,Miscellaneous
[Bugfix] fix patch typo (#4351),4351,[Bugfix] fix patch typo,Others,Include,Bug fix
[bugfix]Return the Transformer version from 4.57.2 to 4.57.1 (#4423),4423,[bugfix]Return the Transformer version from 4.57.2 to 4.57.1,Others,Include,Bug fix
[Bugfix] use module-level import for patched function in Qwen3Next (#4354),4354,[Bugfix] use module-level import for patched function in Qwen3Next,Others,Include,Bug fix
[MM][Bugfix] Minor fix for VL model verification (#4384),4384,[MM][Bugfix] Minor fix for VL model verification,Others,Include,Bug fix
[misc] Remove useless patch_logits (#4252),4252,[misc] Remove useless patch_logits,Others,Include,Miscellaneous
[TEST] Delete Comment (#4427),4427,[TEST] Delete Comment,Others,Include,Miscellaneous
mkdir triton package and move triton files (#4420),4420,mkdir triton package and move triton files,Hardware and Operator Support,Include,Operator/hardware support
upgrade to vllm 0.11.2 (#4400),4400,upgrade to vllm 0.11.2,Others,Include,Miscellaneous
[CI] clean up ci (#4452),4452,[CI] clean up ci,Ignore,Ignore,Internal/CI/test change
[refact] unified soc_version code (#4359),4359,[refact] unified soc_version code,Others,Include,Miscellaneous
Change comment location (#4432),4432,Change comment location,Others,Include,Miscellaneous
[UT] Fix ut test (#4472),4472,[UT] Fix ut test,Ignore,Ignore,Internal/CI/test change
chip type judgement code optimization (#4485),4485,chip type judgement code optimization,Performance,Include,Performance optimization
[CI][Nightly] Support local debugging for multi-node CI test cases (#4489),4489,[CI][Nightly] Support local debugging for multi-node CI test cases,Features,Include,New feature
[BugFix] Adapted Qwen3-Next eager mode to v0.11.2 (#4477),4477,[BugFix] Adapted Qwen3-Next eager mode to v0.11.2,Highlights,Include,Model support
[bugfix] fix ray start failed: local_world_size cannot little than visible device count error (#4457),4457,[bugfix] fix ray start failed: local_world_size cannot little than visible device count error,Others,Include,Bug fix
[feature] Add Custom Op grouped_matmul_swiglu_quant (#4431),4431,[feature] Add Custom Op grouped_matmul_swiglu_quant,Hardware and Operator Support,Include,Operator/hardware support
[TEST] Add eagle proposer ut (#4447),4447,[TEST] Add eagle proposer ut,Ignore,Ignore,Internal/CI/test change
[main]Upgrade cann to 8.3rc2 (#4350),4350,[main]Upgrade cann to 8.3rc2,Others,Include,Miscellaneous
[Quantization] Support compressed tensors w8a8 static and w8a8 dynamic weight (#4036),4036,[Quantization] Support compressed tensors w8a8 static and w8a8 dynamic weight,Features,Include,New feature
[MM][Model][Perf] Remove Qwen2.5-VL modeling files and add patch for VisionAttention (#4349),4349,[MM][Model][Perf] Remove Qwen2.5-VL modeling files and add patch for VisionAttention,Performance,Include,Performance optimization
[P/D] Add readme for PD separation (#4182),4182,[P/D] Add readme for PD separation,Documentation,Include,Documentation update
[Doc]Delete equals sign (#4537),4537,[Doc]Delete equals sign,Documentation,Include,Documentation update
[Kernel] add custom op GmmSwigluQuantWeightNzTensorList (#3804),3804,[Kernel] add custom op GmmSwigluQuantWeightNzTensorList,Hardware and Operator Support,Include,Operator/hardware support
[Feature][main]reconstruction kvpool connector to ascend connector (#4438),4438,[Feature][main]reconstruction kvpool connector to ascend connector,Features,Include,New feature
【OPS】qwen3-next  support triton chunk_gated_delta_rule ops (#4070),4070,【OPS】qwen3-next  support triton chunk_gated_delta_rule ops,Highlights,Include,Model support
update triton package url (#4552),4552,update triton package url,Hardware and Operator Support,Include,Operator/hardware support
[Bugfix] Fix model run _npu_flash_attention hang issue (#4410),4410,[Bugfix] Fix model run _npu_flash_attention hang issue,Hardware and Operator Support,Include,Operator/hardware support
[Doc] Add single NPU tutorial for Qwen2.5-Omni-7B (#4446),4446,[Doc] Add single NPU tutorial for Qwen2.5-Omni-7B,Documentation,Include,Model tutorial
Update triton package name (#4563),4563,Update triton package name,Hardware and Operator Support,Include,Operator/hardware support
[bugfix] dep ineffective (#4417),4417,[bugfix] dep ineffective,Others,Include,Bug fix
[P/D] [bugfix] add get_kv_connector_handshake_metadata func for 0.11.2 (#4567),4567,[P/D] [bugfix] add get_kv_connector_handshake_metadata func for 0.11.2,Others,Include,Bug fix
drop ascend scheduler (#4498),4498,drop ascend scheduler,Others,Include,Miscellaneous
improve soc version (#4522),4522,improve soc version,Others,Include,Miscellaneous
[MM][Model] Remove Qwen2-VL modeling files (#4534),4534,[MM][Model] Remove Qwen2-VL modeling files,Others,Include,Miscellaneous
Move mla to ops module (#4575),4575,Move mla to ops module,Others,Include,Miscellaneous
[Bugfix] fix dp parallel + tp > 1 offline inference port conflict (#4539),4539,[Bugfix] fix dp parallel + tp > 1 offline inference port conflict,Others,Include,Bug fix
remove qwen3-next model file (#4573),4573,remove qwen3-next model file,Highlights,Include,Model support
[feature]Pooling Features and PCP Adaptation (#4143),4143,[feature]Pooling Features and PCP Adaptation,Highlights,Include,Major feature
"Revert ""drop ascend scheduler"" (#4580)",4580,"Revert ""drop ascend scheduler""",Ignore,Ignore,Internal/CI/test change
[CI] Skip test_ngram_correctness as the oom issue block CI (#4578),4578,[CI] Skip test_ngram_correctness as the oom issue block CI,Ignore,Ignore,Internal/CI/test change
[bugfix] Repair the problem of moe model accuracy caused by version upgrade. (#4562),4562,[bugfix] Repair the problem of moe model accuracy caused by version upgrade.,Others,Include,Bug fix
[Bugfix] Fix kvpool precision synchronization (#4574),4574,[Bugfix] Fix kvpool precision synchronization,Others,Include,Bug fix
[feature] Support W8A8 PD-Mix Quantization (#4235),4235,[feature] Support W8A8 PD-Mix Quantization,Features,Include,New feature
[EPLB][Ops] Integerate grouped_matmul_swiglu_quant_weight_nz_tensor_list operator into dynamic EPLB (#4216),4216,[EPLB][Ops] Integerate grouped_matmul_swiglu_quant_weight_nz_tensor_list operator into dynamic EPLB,Highlights,Include,Major feature
[OPS] add bmm_transpose ops (#3990),3990,[OPS] add bmm_transpose ops,Others,Include,Miscellaneous
[BugFix] Fix Qwen2.5_Omni vision customized op attr err (#4568),4568,[BugFix] Fix Qwen2.5_Omni vision customized op attr err,Others,Include,Bug fix
[Bugfix] Resolve MTP > 1 issue when lm head tp > 1 (#4254),4254,[Bugfix] Resolve MTP > 1 issue when lm head tp > 1,Highlights,Include,Major feature
Bump actions/setup-python from 6.0.0 to 6.1.0 (#4591),4591,Bump actions/setup-python from 6.0.0 to 6.1.0,Ignore,Ignore,Internal/CI/test change
[Bugfix] Fix bug with establishing the flashcomm2 and pp communication domains. (#4458),4458,[Bugfix] Fix bug with establishing the flashcomm2 and pp communication domains.,Performance,Include,Performance optimization
[Kernel] add triton kernels for sampling (#4550),4550,[Kernel] add triton kernels for sampling,Hardware and Operator Support,Include,Operator/hardware support
add _cann_ops_custom gitignore (#4605),4605,add _cann_ops_custom gitignore,Others,Include,Miscellaneous
[Feature] Integrate Suffix Spec Decoding (#4045),4045,[Feature] Integrate Suffix Spec Decoding,Highlights,Include,Major feature
upgrade torch npu version (#4433),4433,upgrade torch npu version,Others,Include,Miscellaneous
[Bugfix] PCP adaptation for VLLM v0.11.2 modifications (#4604),4604,[Bugfix] PCP adaptation for VLLM v0.11.2 modifications,Highlights,Include,Major feature
[Bug_fix] fix torchair o_proj forward parameter (#4166),4166,[Bug_fix] fix torchair o_proj forward parameter,Others,Include,Miscellaneous
[CI] drop ascend scheduler test (#4582),4582,[CI] drop ascend scheduler test,Ignore,Ignore,Internal/CI/test change
[Feat] shared expert dp for deepseek_mtp (#3811),3811,[Feat] shared expert dp for deepseek_mtp,Highlights,Include,Major feature
fix qwenvl pd smoke test error (#4597),4597,fix qwenvl pd smoke test error,Ignore,Ignore,Internal/CI/test change
[Test] Add accuracy nightly test for new models (#4262),4262,[Test] Add accuracy nightly test for new models,Others,Include,Miscellaneous
"[Doc] Fix DeepSeek-V3.2-Exp doc, add docker command. (#4479)",4479,"[Doc] Fix DeepSeek-V3.2-Exp doc, add docker command.",Documentation,Include,Model tutorial
[Test] Add GLM-4.5 nightly test (#4225),4225,[Test] Add GLM-4.5 nightly test,Highlights,Include,Model support
"[Bugfix] Remove ModelSlim-""M4 Quantization"". (#4589)",4589,"[Bugfix] Remove ModelSlim-""M4 Quantization"".",Others,Include,Bug fix
[main][bugfix] bugfix for qwen3 moe quantization (#4599),4599,[main][bugfix] bugfix for qwen3 moe quantization,Others,Include,Bug fix
[MM][Model] Remove Qwen3-VL modeling files (#4577),4577,[MM][Model] Remove Qwen3-VL modeling files,Highlights,Include,Model support
[CI]enable chunked prefill by default (#4569),4569,[CI]enable chunked prefill by default,Ignore,Ignore,Internal/CI/test change
[Refactor] Remove redundant attention operator branches. (#4531),4531,[Refactor] Remove redundant attention operator branches.,Ignore,Ignore,Internal/CI/test change
[Bugfix] Fix Qwen2.5-Omni-7B accuarcy test (#4556),4556,[Bugfix] Fix Qwen2.5-Omni-7B accuarcy test,Ignore,Ignore,Internal/CI/test change
[Bugfix]Fix eplb enable when using mtp float weights. (#4571),4571,[Bugfix]Fix eplb enable when using mtp float weights.,Highlights,Include,Major feature
Bump actions/checkout from 4.3.1 to 6.0.0 (#4592),4592,Bump actions/checkout from 4.3.1 to 6.0.0,Ignore,Ignore,Internal/CI/test change
"Revert ""[Bugfix] Fix Qwen2.5-Omni-7B accuarcy test (#4556)"" (#4556)",4556,"Revert ""[Bugfix] Fix Qwen2.5-Omni-7B accuarcy test",Ignore,Ignore,Internal/CI/test change
[CI] Drop ascend scheduler from test (#4613),4613,[CI] Drop ascend scheduler from test,Ignore,Ignore,Internal/CI/test change
add hyperlink (#4588),4588,add hyperlink,Others,Include,Miscellaneous
[Doc]clean up ascend scheduler config from doc (#4612),4612,[Doc]clean up ascend scheduler config from doc,Documentation,Include,Documentation update
[Doc] Add tutorial for Qwen3-Coder-30B-A3B (#4391),4391,[Doc] Add tutorial for Qwen3-Coder-30B-A3B,Hardware and Operator Support,Include,Operator/hardware support
[Ops][Triton] Add a triton kernel supporting partial rope. (#4413),4413,[Ops][Triton] Add a triton kernel supporting partial rope.,Hardware and Operator Support,Include,Operator/hardware support
clean up model module (#4611),4611,clean up model module,Others,Include,Miscellaneous
[Doc] Refactor the DeepSeek-V3.1 tutorial. (#4399),4399,[Doc] Refactor the DeepSeek-V3.1 tutorial.,Documentation,Include,Model tutorial
[performance] Enhance performance after enabling min_p (#4529),4529,[performance] Enhance performance after enabling min_p,Performance,Include,Performance optimization
【doc fix】doc fix: deepseekv3.1 (#4645),4645,【doc fix】doc fix: deepseekv3.1,Others,Include,Miscellaneous
[Bugfix] fix custom op GmmSwigluQuantWeightNzTensorList (#4593),4593,[Bugfix] fix custom op GmmSwigluQuantWeightNzTensorList,Hardware and Operator Support,Include,Operator/hardware support
upgrade vLLM to main (#4608),4608,upgrade vLLM to main,Others,Include,Miscellaneous
[kernel] add AscendC op: lightning_indexer and sparse_flash_attention (#4625),4625,[kernel] add AscendC op: lightning_indexer and sparse_flash_attention,Hardware and Operator Support,Include,Operator/hardware support
[Doc] add release note for v0.11.0rc3 (#4646),4646,[Doc] add release note for v0.11.0rc3,Documentation,Include,Documentation update
fix typo (#4657),4657,fix typo,Others,Include,Miscellaneous
[Model] Add qwen3Next support in Main (#4596),4596,[Model] Add qwen3Next support in Main,Features,Include,New feature
[Feat] MTP support DeepSeekV3.2 (#4465),4465,[Feat] MTP support DeepSeekV3.2,Highlights,Include,Major feature
[Fix] Fix FIA `query` and `query_start_loc` shape mismatch error (#4518),4518,[Fix] Fix FIA `query` and `query_start_loc` shape mismatch error,Hardware and Operator Support,Include,Operator/hardware support
[CI] Fix ut ci: no space on the device (#4662),4662,[CI] Fix ut ci: no space on the device,Ignore,Ignore,Internal/CI/test change
[Misc] Add cann custom ops to `.gitignore` (#4670),4670,[Misc] Add cann custom ops to `.gitignore`,Hardware and Operator Support,Include,Operator/hardware support
fix custom ops env set error (#4675),4675,fix custom ops env set error,Hardware and Operator Support,Include,Operator/hardware support
[Core] Encoder separation for Encode-Prefill-Decode Disaggregation (#4176),4176,[Core] Encoder separation for Encode-Prefill-Decode Disaggregation,Highlights,Include,Major feature
upgrade vLLM to 0.12.0 tag (#4647),4647,upgrade vLLM to 0.12.0 tag,Others,Include,Miscellaneous
Remove cancel for main to main check (#4685),4685,Remove cancel for main to main check,Others,Include,Miscellaneous
Adopt inductor fusion and define quantization fusion pass (#4168),4168,Adopt inductor fusion and define quantization fusion pass,Performance,Include,Operator fusion
Remove ascend schuduler ut (#4684),4684,Remove ascend schuduler ut,Others,Include,Miscellaneous
【fix】ops gatingtopk fix nightly ci error (#4340),4340,【fix】ops gatingtopk fix nightly ci error,Others,Include,Miscellaneous
[MM][Patch] Remove patch for cos/sin cache (#4672),4672,[MM][Patch] Remove patch for cos/sin cache,Others,Include,Miscellaneous
[Nightly] Optimize nightly CI (#4509),4509,[Nightly] Optimize nightly CI,Performance,Include,Performance optimization
[Misc] Upgrade vllm vllm commit to 2025_12_04 (#4690),4690,[Misc] Upgrade vllm vllm commit to 2025_12_04,Others,Include,Miscellaneous
add `dispatch_gmm_combine` kernel (#3532),3532,add `dispatch_gmm_combine` kernel,Hardware and Operator Support,Include,Operator/hardware support
[Bugfix] Quick hot fix for nightly CI (#4727),4727,[Bugfix] Quick hot fix for nightly CI,Others,Include,Bug fix
[Doc] Update vLLM version in doc (#4691),4691,[Doc] Update vLLM version in doc,Documentation,Include,Documentation update
Drop ascend scheduler (#4623),4623,Drop ascend scheduler,Others,Include,Miscellaneous
[long_seq] remove long_seq env (#4660),4660,[long_seq] remove long_seq env,Others,Include,Miscellaneous
Update comment doc (#4731),4731,Update comment doc,Others,Include,Miscellaneous
[BugFix][Triton] Fix ub overflow bug of sample_recover_tokens_kernel (#4673),4673,[BugFix][Triton] Fix ub overflow bug of sample_recover_tokens_kernel,Hardware and Operator Support,Include,Operator/hardware support
[Bugifx] fix quant_apply_mlp w1_scale type error & fix getting num_local_expert (#4632),4632,[Bugifx] fix quant_apply_mlp w1_scale type error & fix getting num_local_expert,Others,Include,Miscellaneous
[P/D][main] Clean connector history information (#4650),4650,[P/D][main] Clean connector history information,Others,Include,Miscellaneous
[CI] Fix unit test fault `no space left` (#4728),4728,[CI] Fix unit test fault `no space left`,Ignore,Ignore,Internal/CI/test change
【main】[Doc]add 2P1D instruction for single node (#4716),4716,【main】[Doc]add 2P1D instruction for single node,Documentation,Include,Documentation update
[Refactor] 1/N Refactor attention_v1 & extract attention_cp (#4628),4628,[Refactor] 1/N Refactor attention_v1 & extract attention_cp,Ignore,Ignore,Internal/CI/test change
[Bugfix]fix bmm_transpose ops for cann version (#4653),4653,[Bugfix]fix bmm_transpose ops for cann version,Others,Include,Bug fix
rm vanilla attn (#4558),4558,rm vanilla attn,Others,Include,Miscellaneous
mlapo add qdown output (#4707),4707,mlapo add qdown output,Hardware and Operator Support,Include,Operator/hardware support
[Bugfix] fix mtp and eagle aclgraph bug (#4710),4710,[Bugfix] fix mtp and eagle aclgraph bug,Highlights,Include,Major feature
support async mtp (#4511),4511,support async mtp,Highlights,Include,Major feature
[BugFix] Fix eagle3 accuracy problem when enforce_eager=True (#4521),4521,[BugFix] Fix eagle3 accuracy problem when enforce_eager=True,Highlights,Include,Major feature
[Kernel] add custom op DispatchGmmCombineDecode (#4139),4139,[Kernel] add custom op DispatchGmmCombineDecode,Hardware and Operator Support,Include,Operator/hardware support
[Feat]enable sfa cp for dsv3.2 (#4702),4702,[Feat]enable sfa cp for dsv3.2,Hardware and Operator Support,Include,Operator/hardware support
Support DeepSeekV3.2 with MLAPO operator (#4753),4753,Support DeepSeekV3.2 with MLAPO operator,Hardware and Operator Support,Include,Operator/hardware support
[P/D] check kv extra config and del hccl backend (#4547),4547,[P/D] check kv extra config and del hccl backend,Others,Include,Miscellaneous
[BugFix] Refactor ACL graph size adjustment for speculative decoding (#4640),4640,[BugFix] Refactor ACL graph size adjustment for speculative decoding,Highlights,Include,Major feature
[Feat] Add Euler xlite graph wrapper support (#4526),4526,[Feat] Add Euler xlite graph wrapper support,Highlights,Include,Major feature
fix synchronize error of exceeds_max_model_len d2h copy (#4708),4708,fix synchronize error of exceeds_max_model_len d2h copy,Others,Include,Miscellaneous
[CI] Fix ngram & suffix test oom (#4755),4755,[CI] Fix ngram & suffix test oom,Ignore,Ignore,Internal/CI/test change
Deepseek Mtp model uses the lm_head and embedding from the main model (#2790),2790,Deepseek Mtp model uses the lm_head and embedding from the main model,Highlights,Include,Major feature
remove useless patch (#4699),4699,remove useless patch,Others,Include,Miscellaneous
[Op] DeepSeekV3.2 support bmm_transpose operator (#4631),4631,[Op] DeepSeekV3.2 support bmm_transpose operator,Hardware and Operator Support,Include,Operator/hardware support
[EPLB] Add log Info for moe_load Imbalance Ratio (#4482),4482,[EPLB] Add log Info for moe_load Imbalance Ratio,Highlights,Include,Major feature
[Fix] skip xlite e2e test (#4786),4786,[Fix] skip xlite e2e test,Ignore,Ignore,Internal/CI/test change
[Bugfix] Fix Dcp dimension mismatch when enable Mlapo (#4687),4687,[Bugfix] Fix Dcp dimension mismatch when enable Mlapo,Highlights,Include,Major feature
[Kernel] add custom moe ops for prefill (#4194),4194,[Kernel] add custom moe ops for prefill,Hardware and Operator Support,Include,Operator/hardware support
Bump actions/checkout from 6.0.0 to 6.0.1 (#4772),4772,Bump actions/checkout from 6.0.0 to 6.0.1,Ignore,Ignore,Internal/CI/test change
[Doc] Add Qwen3-235B tutorial (#4358),4358,[Doc] Add Qwen3-235B tutorial,Documentation,Include,Documentation update
[DP] Fix dp padding logic in dummyrun (#4705),4705,[DP] Fix dp padding logic in dummyrun,Others,Include,Miscellaneous
[MOE]move weight transpose to wakeup for RL secnarios (#4626),4626,[MOE]move weight transpose to wakeup for RL secnarios,Others,Include,Miscellaneous
Fix incorrect MLAPO weight release in PD mixex scenarios. (#4774),4774,Fix incorrect MLAPO weight release in PD mixex scenarios.,Hardware and Operator Support,Include,Operator/hardware support
"Revert ""[Kernel] add custom moe ops for prefill"" (#4806)",4806,"Revert ""[Kernel] add custom moe ops for prefill""",Ignore,Ignore,Internal/CI/test change
[Bugfix] Add the check for a null VllmConfig (#4749),4749,[Bugfix] Add the check for a null VllmConfig,Others,Include,Bug fix
[CI] Skip `test_suffix_correctness` (#4820),4820,[CI] Skip `test_suffix_correctness`,Ignore,Ignore,Internal/CI/test change
[Docs]fix the configuration conflicts in documentation (#4823),4823,[Docs]fix the configuration conflicts in documentation,Documentation,Include,Documentation update
[CI] Optimize CI time (#4821),4821,[CI] Optimize CI time,Ignore,Ignore,Internal/CI/test change
[KVPOOl]Support pp (#4761),4761,[KVPOOl]Support pp,Features,Include,New feature
[Feat] Multi-stream for eplb heat collection and aggregation (#4214),4214,[Feat] Multi-stream for eplb heat collection and aggregation,Highlights,Include,Major feature
[kernel] Adapt DispatchGmmCombineDecode operator to parameters of small operators (#4790),4790,[kernel] Adapt DispatchGmmCombineDecode operator to parameters of small operators,Hardware and Operator Support,Include,Operator/hardware support
[CI] Increase HCCL_BUFFSIZE for A3 (#4838),4838,[CI] Increase HCCL_BUFFSIZE for A3,Ignore,Ignore,Internal/CI/test change
[Bugfix]fix bmm_transpose ops in dsv32 (#4791),4791,[Bugfix]fix bmm_transpose ops in dsv32,Others,Include,Bug fix
[UT]add pcp aclgraph ut (#4804),4804,[UT]add pcp aclgraph ut,Ignore,Ignore,Internal/CI/test change
"[Usability]local_buffer_size support for units: GB, MB, KB, B (#4829)",4829,"[Usability]local_buffer_size support for units: GB, MB, KB, B",Features,Include,New feature
[Refactor] 2/N Unify all mask generation methods and cache mask (#4779),4779,[Refactor] 2/N Unify all mask generation methods and cache mask,Ignore,Ignore,Internal/CI/test change
[CI] Setup github proxy for self_hosted runners (#4841),4841,[CI] Setup github proxy for self_hosted runners,Ignore,Ignore,Internal/CI/test change
[Fix] Add extra warmup run count for MC2 on specific SoC version (#4843),4843,[Fix] Add extra warmup run count for MC2 on specific SoC version,Others,Include,Bug fix
[Bugfix] Disable the dispatch_ffn_combine kernel in MTP path (#4751),4751,[Bugfix] Disable the dispatch_ffn_combine kernel in MTP path,Highlights,Include,Major feature
[P/D][main]Offline the llmdatadist connector related parts of the code and files. (#4780),4780,[P/D][main]Offline the llmdatadist connector related parts of the code and files.,Others,Include,Miscellaneous
Add gsm8k accuracy test for multi-note Qwen3-235B-A22B (#4802),4802,Add gsm8k accuracy test for multi-note Qwen3-235B-A22B,Hardware and Operator Support,Include,Operator/hardware support
[bugfix] fix quant method validation bug (#4831),4831,[bugfix] fix quant method validation bug,Others,Include,Bug fix
[Kernel] add custom op MatmulAllreduceAddRmsnorm (#4606),4606,[Kernel] add custom op MatmulAllreduceAddRmsnorm,Hardware and Operator Support,Include,Operator/hardware support
Drop torchair (#4814),4814,Drop torchair,Others,Include,Miscellaneous
[Nightly] Optimize nightly online test logger info (#4798),4798,[Nightly] Optimize nightly online test logger info,Performance,Include,Performance optimization
[Test] Temporarily skips Qwen3-30B-A3B-W8A8 data parallel test case (#4857),4857,[Test] Temporarily skips Qwen3-30B-A3B-W8A8 data parallel test case,Hardware and Operator Support,Include,Operator/hardware support
add e2e test for mtp async_scheduling (#4826),4826,add e2e test for mtp async_scheduling,Highlights,Include,Major feature
[Model] Support pooling models (#3122),3122,[Model] Support pooling models,Highlights,Include,Major feature
[CI]Cleanup accurary test (#4861),4861,[CI]Cleanup accurary test,Ignore,Ignore,Internal/CI/test change
[CI] Use offline mode for modelscope (#4875),4875,[CI] Use offline mode for modelscope,Ignore,Ignore,Internal/CI/test change
[Feat] Support native Kimi-K2-Thinking native W4A16 quantized experts weights (#4516),4516,[Feat] Support native Kimi-K2-Thinking native W4A16 quantized experts weights,Highlights,Include,Model support
mooncake connector support pipeline parallel & fix pp with flashcomm1 (#4054),4054,mooncake connector support pipeline parallel & fix pp with flashcomm1,Highlights,Include,Major feature
add multi_npu_qwen3_dense tutorials (#4543),4543,add multi_npu_qwen3_dense tutorials,Documentation,Include,Documentation update
[CI] fix lint (#4888),4888,[CI] fix lint,Ignore,Ignore,Internal/CI/test change
[Kernel] Add moe normal ops (#4810),4810,[Kernel] Add moe normal ops,Hardware and Operator Support,Include,Operator/hardware support
[Bugfix] Fix out-of-bounds access to token_id due to uninitialized logprobs (#4248),4248,[Bugfix] Fix out-of-bounds access to token_id due to uninitialized logprobs,Others,Include,Bug fix
